res,pututime
0,157
0,75
0,56
0,46
0,65
0,45
0,42
0,46
0,50
0,46
0,51
0,47
0,58
0,43
0,46
0,58
0,66
0,42
0,44
0,48
0,54
0,103
0,74
0,67
0,52
0,67
0,72
0,43
0,47
0,54
0,43
0,51
0,49
0,53
0,56
0,61
0,81
0,80
0,51
0,88
0,60
0,82
0,89
0,54
0,71
0,49
0,68
0,59
0,60
0,49
0,51
0,48
0,67
0,61
0,41
0,45
0,72
0,100
0,53
0,53
0,52
0,44
0,85
0,52
0,76
0,65
0,45
0,71
0,51
0,70
0,79
0,62
0,52
0,48
0,52
0,47
0,47
0,62
0,46
0,53
0,55
0,54
0,48
0,47
0,45
0,53
0,50
0,59
0,55
0,55
0,71
0,54
0,88
0,48
0,95
0,68
0,86
0,98
0,50
0,91
0,56
0,58
0,55
0,64
0,79
0,83
0,70
0,47
0,92
0,66
0,85
0,78
0,69
0,58
0,49
0,52
0,52
0,48
0,48
0,50
0,48
0,58
0,89
0,53
0,84
0,87
0,59
0,52
0,59
0,1669
0,60
0,53
0,66
0,49
0,54
0,52
0,51
0,63
0,48
0,54
0,51
0,84
0,58
0,81
0,93
0,54
0,75
0,64
0,80
0,89
0,48
0,75
0,83
0,48
0,163
0,67
0,42
0,48
0,47
0,46
0,47
0,50
0,82
0,54
0,49
0,44
0,63
0,77
0,72
0,42
0,73
0,68
0,79
0,82
0,43
0,82
0,72
0,49
0,75
0,56
0,44
0,46
0,56
0,81
0,75
0,52
0,53
0,48
0,84
0,61
0,49
0,72
0,69
0,82
0,76
0,50
0,75
0,82
0,69
0,79
0,82
0,47
0,76
0,62
0,43
0,74
0,49
0,72
0,79
0,51
0,47
0,49
0,44
0,54
0,46
0,51
0,85
0,48
0,55
0,43
0,47
0,70
0,51
0,42
0,45
0,86
0,75
0,58
0,74
0,45
0,46
0,55
0,61
0,68
0,42
0,50
0,44
0,47
0,54
0,87
0,588
0,71
0,88
0,85
0,70
0,84
0,56
0,76
0,94
0,47
0,54
0,50
0,63
0,51
0,57
0,63
0,57
0,54
0,44
0,96
0,80
0,79
0,62
0,59
0,56
0,51
0,43
0,45
0,54
0,47
0,53
0,51
0,49
0,54
0,45
0,48
0,48
0,47
0,52
0,51
0,56
0,53
0,45
0,64
0,49
0,51
0,49
0,46
0,51
0,50
0,50
0,76
0,50
0,69
0,87
0,92
0,52
0,77
0,50
0,51
0,49
0,43
0,50
0,69
0,56
0,52
0,49
0,62
0,65
0,46
0,46
0,46
0,51
0,73
0,45
0,75
0,66
0,75
0,74
0,57
0,76
0,51
0,63
0,47
0,59
0,63
0,45
0,57
0,37
0,49
0,42
0,43
0,49
0,44
0,42
0,50
0,41
0,52
0,60
0,48
0,52
0,52
0,52
0,44
0,47
0,42
0,75
0,46
0,47
0,51
0,44
0,57
0,48
0,50
0,51
0,46
0,47
0,53
0,60
0,117
0,56
0,44
0,48
0,59
0,49
0,63
0,95
0,698
0,45
0,54
0,46
0,45
0,49
0,58
0,43
0,44
0,48
0,96
0,66
0,52
0,53
0,50
0,72
0,40
0,46
0,46
0,47
0,55
0,45
0,40
0,47
0,47
0,44
0,41
0,50
0,41
0,47
0,62
0,74
0,56
0,94
0,79
0,47
0,50
0,39
0,47
0,50
0,48
0,50
0,49
0,45
0,52
0,44
0,47
0,54
0,73
0,76
0,54
0,47
0,62
0,56
0,92
0,86
0,42
0,62
0,93
0,50
0,92
0,71
0,57
0,46
0,52
0,50
0,48
0,47
0,41
0,41
0,46
0,65
0,103
0,55
0,48
0,49
0,68
0,74
0,69
0,72
0,42
0,71
0,84
0,47
0,49
0,64
0,53
0,52
0,42
0,46
0,80
0,57
0,71
0,42
0,51
0,43
0,67
0,51
0,58
0,44
0,56
0,69
0,47
0,86
0,47
0,71
0,79
0,54
0,85
0,79
0,74
0,74
0,44
0,64
0,92
0,58
0,67
0,71
0,50
0,72
0,69
0,53
0,54
0,44
0,43
0,39
0,47
0,37
0,45
0,49
0,43
0,50
0,57
0,50
0,47
0,40
0,44
0,49
0,49
0,43
0,48
0,43
0,45
0,44
0,49
0,45
0,45
0,44
0,42
0,44
0,49
0,47
0,56
0,62
0,48
0,48
0,55
0,54
0,50
0,52
0,229
0,47
0,50
0,47
0,57
0,46
0,39
0,47
0,43
0,45
0,51
0,41
0,44
0,49
0,58
0,51
0,49
0,52
0,44
0,47
0,41
0,52
0,39
0,47
0,47
0,50
0,49
0,49
0,46
0,46
0,58
0,40
0,48
0,70
0,42
0,40
0,59
0,48
0,80
0,40
0,37
0,50
0,43
0,41
0,43
0,38
0,41
0,69
0,49
0,72
0,53
0,47
0,47
0,46
0,46
0,63
0,43
0,40
0,50
0,41
0,47
0,50
0,45
0,44
0,40
0,45
0,46
0,86
0,54
0,36
0,42
0,53
0,59
0,45
0,44
0,47
0,48
0,47
0,47
0,40
0,47
0,56
0,46
0,56
0,74
0,42
0,56
0,45
0,46
0,48
0,41
0,57
0,54
0,50
0,46
0,59
0,53
0,42
0,50
0,39
0,50
0,46
0,40
0,73
0,45
0,44
0,46
0,56
0,44
0,55
0,37
0,42
0,47
0,45
0,55
0,46
0,46
0,44
0,57
0,45
0,41
0,38
0,48
0,53
0,56
0,48
0,47
0,50
0,56
0,46
0,44
0,47
0,41
0,48
0,60
0,55
0,45
0,45
0,52
0,68
0,45
0,46
0,55
0,47
0,46
0,80
0,56
0,90
0,52
0,48
0,46
0,42
0,39
0,48
0,45
0,43
0,48
0,41
0,52
0,91
0,53
0,51
0,53
0,54
0,75
0,84
0,76
0,60
0,51
0,87
0,66
0,83
0,56
0,61
0,48
0,54
0,57
0,56
0,49
0,56
0,52
0,51
0,56
0,63
0,59
0,46
0,49
0,54
0,59
0,67
0,53
0,70
0,67
0,66
0,59
0,105
0,84
0,50
0,89
0,104
0,59
0,66
0,72
0,56
0,58
0,63
0,58
0,61
0,84
0,56
0,96
0,86
0,104
0,87
0,56
0,68
0,50
0,61
0,61
0,56
0,51
0,56
0,80
0,75
0,85
0,82
0,57
0,109
0,63
0,54
0,51
0,67
0,86
0,61
0,53
0,98
0,64
0,54
0,62
0,81
0,87
0,53
0,57
0,51
0,58
0,58
0,93
0,83
0,66
0,89
0,61
0,53
0,69
0,60
0,54
0,73
0,52
0,63
0,104
0,57
0,60
0,64
0,84
0,89
0,56
0,113
0,95
0,53
0,84
0,94
0,57
0,53
0,54
0,48
0,60
0,83
0,68
0,56
0,77
0,54
0,64
0,49
0,96
0,79
0,94
0,71
0,78
0,90
0,63
0,58
0,56
0,63
0,57
0,55
0,58
0,67
0,84
0,84
0,59
0,57
0,105
0,56
0,63
0,55
0,85
0,116
0,84
0,62
0,102
0,53
0,112
0,66
0,54
0,679
0,79
0,68
0,84
0,79
0,60
0,88
0,73
0,74
0,104
